Ref,Val,Package,PosX,PosY,Rot,Side
"AE101","Antenna_Shield","PinHeader_1x02_P2.54mm_Vertical",84.360000,9.635000,180.000000,top
"BT101","3.5-9V","PinSocket_1x02_P2.54mm_Vertical",15.520000,18.970000,0.000000,top
"C101","470nF","C_0805_2012Metric",61.900000,8.540000,-90.000000,top
"C102","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",60.190000,33.390000,180.000000,top
"C103","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",18.840000,18.690000,-90.000000,top
"C104","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",23.110000,17.340000,-90.000000,top
"C105","220pF","C_0805_2012Metric",77.530000,14.800000,180.000000,top
"C105","220pF","C_0805_2012Metric",80.500000,13.870000,-90.000000,top
"C106","470nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",78.750000,10.760000,180.000000,top
"C107","10nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",22.060000,12.140000,0.000000,top
"C108","100nF","C_0805_2012Metric",65.170000,16.510000,90.000000,top
"C109","470nF","C_0805_2012Metric",67.330000,10.650000,0.000000,top
"C110","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",53.740000,11.970000,180.000000,top
"C111","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",49.640000,17.160000,0.000000,top
"C112","470nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",26.780000,12.090000,0.000000,top
"C113","470nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",38.770000,20.690000,180.000000,top
"C114","10nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",53.540000,18.390000,180.000000,top
"C115","15-60pF","CP_Radial_Ceramic_Trimmer_D9.4mm_P8.00mm",83.710000,24.730000,180.000000,top
"C116","100nF","C_0805_2012Metric",57.860000,13.640000,90.000000,top
"C117","100nF","C_0805_2012Metric",52.780000,32.720000,0.000000,top
"C121","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",39.360000,16.587500,-90.000000,top
"C201","10uF","C_0805_2012Metric",57.090000,23.260000,180.000000,top
"C202","4.7uF","C_0805_2012Metric",49.070000,23.250000,0.000000,top
"C203","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",41.060000,26.460000,180.000000,top
"D101","LED_Filled","LED_APDA1806SECK",34.270000,1.870000,180.000000,top
"D102","SMV1253-079LF","D_SC-80",77.810000,13.000000,0.000000,top
"D103","ESD9B5.0ST5G_1","D_0603_1608Metric",5.390000,16.372500,90.000000,top
"D104","ESD9B5.0ST5G_1","D_0603_1608Metric",5.390000,13.240000,-90.000000,top
"FB101","FerriteBead_Small","Ferrite_Bead_NFZ32BW881_Reflow",76.790000,7.530000,180.000000,top
"J101","Conn_01x02","PinSocket_1x02_P2.54mm_Vertical",67.470000,33.860000,0.000000,top
"J112","Conn_01x02","PinSocket_1x02_P2.54mm_Vertical",24.270000,7.790000,90.000000,top
"J113","Conn_01x02","PinSocket_1x02_P2.54mm_Vertical",33.270000,7.720000,-90.000000,top
"J115","Conn_01x02","PinSocket_1x02_P2.54mm_Vertical",41.200000,23.525000,-90.000000,top
"P101","ISP/PDI","PinHeader_2x03_P2.54mm_Vertical_SMD",14.935000,27.760000,180.000000,top
"Q101","BSS84W-7-F","SOT-323_SC-70",13.330000,12.650000,180.000000,top
"Q102","BSS138W-7-F","SOT-323_SC-70",17.240000,9.420000,0.000000,top
"R101","10k","R_0805_2012Metric",49.670000,14.320000,180.000000,top
"R102","10k","R_0805_2012Metric",49.680000,11.400000,180.000000,top
"R108","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",32.380000,12.100000,0.000000,top
"R109","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",16.300000,12.750000,-90.000000,top
"R110","162k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",11.470000,15.350000,0.000000,top
"R111","12.4k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",9.930000,11.520000,90.000000,top
"R201","560k","R_0805_2012Metric",34.090000,32.870000,0.000000,top
"R202","10k","R_0805_2012Metric",49.160000,20.770000,0.000000,top
"SW101","SW_SPST","SW_SPST_B3U-3000P-B",27.630000,1.220000,180.000000,top
"TP101","I2C1","PinHeader_1x04_P2.54mm_Vertical",46.110000,20.240000,0.000000,top
"U101","MC74VHC1G125","TSOT-23-5",56.220000,32.230000,90.000000,top
"U102","LP2985-3.3","SOT-23-5",19.970000,14.980000,0.000000,top
"U103","SI5351","MSOP-10_3x3mm_P0.5mm",62.200000,12.190000,0.000000,top
"U104","LP2985-3.3","SOT-23-5",53.640000,15.270000,90.000000,top
"U105","AVR128DA28","SOIC-28W_7.5x17.9mm_P1.27mm",30.830000,22.510000,0.000000,top
"U201","TPS22810DBVT","SOT-23-6",53.090000,22.310000,0.000000,top
"U202","74HC1G08","SOT-23-5",41.100000,29.260000,180.000000,top
"W101","TP2","Measurement_Point_ScopeProbe_Round-SMD-2sides-Pad_Small",64.130000,32.960000,0.000000,top
"W102","TP3","Measurement_Point_ScopeProbe_Round-SMD-2sides-Pad_Small",87.900000,17.040000,-90.000000,top
"X101","SIT1566AC TCO","Oscillator_SMD_SiTime_SIT1566AC-4Pin_BGA",37.625000,16.057500,0.000000,top
"X102","25 MHz","Crystal_SMD_TXETCLSANF-4Pin",61.610000,16.440000,180.000000,top
