Ref,Value,QTY PER,Footprint,Description,Digi-Key Part No.,LCSC Part Number,Link,Manufacturer,Manufacturer PN,
AE101 ,Antenna_Shield,1,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,, , , , , , 
BT101 ,6-12V,1,Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical,, , , , , , 
C101 C102 C111 C112 C113 C116 C117 ,470nF,7,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,CAP CER 0.47UF 100V X7S 0805,445-5203-1-ND, , ,TDK Corporation,C2012X7S2A474K125AB
C103 C104 C118 C119 ,10uF,4,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,CAP CER 10UF 10V X7R 0805,1276-1764-1-ND, , ,Samsung Electro-Mechanics,CL21B106KPQNNNE
C105 ,220pF,1,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,CAP CER 220PF 200V C0G/NP0 0805,478-1274-1-ND, , ,KYOCERA AVX,08052A221JAT2A
C107 C120 ,10nF,2,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,CAP CER 10000PF 50V X7R 0805,1276-1015-1-ND, , ,Samsung Electro-Mechanics,CL21B103KBANNNC
C108 C109 C121 ,100nF,3,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,CAP CER 0.1UF 25V X7R 0805,1276-1099-1-ND, , ,Samsung Electro-Mechanics,CL21B104KACNNNC
C110 ,1uF,1,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,CAP CER 1UF 25V X7R 0805,1276-1066-1-ND, , ,Samsung Electro-Mechanics,CL21B105KAFNNNE
C114 ,67pF,1,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,CAP CER 68PF 50V C0G/NP0 0805,478-1314-1-ND, , ,KYOCERA AVX,08055A680JAT2A
C115 ,560nF,1,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,CAP CER 0.56UF 50V X7R 0805,399-C0805C564K5RAC7800CT-ND, , ,KEMET,C0805C564K5RAC7800
D101 ,LED_Filled,1,LED_SMD:LED_APDA1806SECK,,LED RED CLEAR SMD RIGHT ANGLE,754-2329-1-ND, , ,Kingbright,APDA1806SECK/J3-PRV
D102 ,SMV1253-079LF,1,Diode_SMD:D_SC-80,,DIODE VAR HYPRABRUPT JUNC TUNING,863-SMV1253-079LFCT-ND, , ,Skyworks Solutions Inc.,SMV1253-079LF
D103 D104 ,CG0603MLC-05LECT-ND,2,Resistor_SMD:R_0805_2012Metric,,VARISTOR 0603,CG0603MLC-05LECT-ND,C316054,<a href="https://www.digikey.com/products/en?keywords=CG0603MLC-05LECT-ND">Link</a>,Bourns Inc.,CG0603MLC-05LE
J101 J104 J105 J106 J107 J109 J112 J113 J114 ,Conn_01x02,9,Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical,, , , , , , 
J102 ,Conn_01x02,1,Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical,, ,np, ,np,np, 
J103 J108 ,Conn_01x01,2,Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Vertical,, , , , , , 
J110 ,I2C,1,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54_Nonpolarized,, , , , , , 
J111 ,DB9 Female,1,Connector_Dsub:DSUB-9_Female_EdgeMount_P2.77mm,, ,609-1525-ND, ,<a href="https://www.digikey.com/products/en?keywords=609-1525-ND">Link</a>,TH,TH
JP101 JP102 JP103 JP104 JP105 ,SolderJumper_3_Bridged12,5,Jumper:SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm_NumberLabels,, , , , , , 
JP106 ,SolderJumper_2_Bridged,1,Jumper:SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,, , , , , , 
L101 ,8uH,1,Transformer_THT:Autotransformer_ZS1052-AC,,TH,FT50A-43 (Amidon), ,<a href="http://www.amidoncorp.com/ft-50A-43/">Link</a>,TH,TH
P101 ,ISP/PDI,1,Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical_SMD,, ,609-3487-1-ND, ,<a href="https://www.digikey.com/products/en?keywords=609-3487-1-ND">Link</a>,Amphenol ICC (FCI),95278-101A06LF
Q101 ,BSS84,1,Package_TO_SOT_SMD:SOT-23,,MOSFET P-CH 60V 230MA SST3,846-BSS84T116CT-ND, , ,Rohm Semiconductor,BSS84T116
Q102 ,BSS138,1,Package_TO_SOT_SMD:SOT-23,,MOSFET N-CH 50V 220MA SOT23-3,BSS138CT-ND, , ,onsemi,BSS138
R101 R102 ,200k,2,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,RES SMD 200K OHM 1% 1/8W 0805,RHM200KAHCT-ND, , ,Rohm Semiconductor,KTR10EZPF2003
R103 R107 ,np,2,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,, , , , , , 
R104 R109 ,100k,2,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,RES 100K OHM 0.1% 1/8W 0805,2019-RN73H2ATTD1003B25CT-ND, , ,KOA Speer Electronics  Inc.,RN73H2ATTD1003B25
R105 ,22k,1,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,RES SMD 22K OHM 1% 1/8W 0805,A106059CT-ND, , ,TE Connectivity Passive Product,CRG0805F22K
R106 ,15.8k,1,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,RES 15.8K OHM 1% 1/8W 0805,RMCF0805FT15K8CT-ND, , ,Stackpole Electronics Inc,RMCF0805FT15K8
R108 ,1k,1,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,RES 1K OHM 1% 1/4W 0805,RNCP0805FTD1K00CT-ND, , ,Stackpole Electronics Inc,RNCP0805FTD1K00
